date,newUsers
20221110,535
20221111,121
20221203,117
20221202,79
20221020,74
20221114,53
20221113,51
20221204,39
20221112,37
20221116,36
20221206,29
20221127,28
20221117,24
20221021,23
20221107,23
20221130,23
20221207,21
20221201,19
20221109,18
20221118,18
20221125,18
20221126,18
20221220,17
20221121,16
20221205,16
20221103,15
20221122,15
20221128,13
20221108,11
20221129,10
20221219,10
20221022,9
20221210,8
20221224,8
20221101,7
20221123,7
20221227,7
20221115,6
20221120,6
20221124,6
20221212,6
20221214,6
20221222,6
20221023,5
20221024,5
20221028,5
20221119,5
20221209,5
20221215,5
20221216,5
20221217,5
20221225,5
20221229,5
20221218,4
20221226,4
20221230,4
20221030,3
20221211,3
20221213,3
20221221,3
20221231,3
20221029,2
20221102,2
20221208,2
20221223,2
20221025,1
20221026,1
20221027,1
20221031,1
20221104,1
20221105,1
20221106,1
20221228,1
